;HEIGHT_ABOVE_NN;NATIONAL_ID;WMO_ID;LATITUDE;LONGITUDE;STATION_NAME;REGION
76;913;5911A;08455;36.538;5.227;GRAZALEMA;CADIZ
77;27;5960;08451;36.502;6.321;JEREZ DE LA FRONTERA AEROPUERTO;CADIZ
78;21;5910;08449;36.82;6.957;ROTA, BASE NAVAL;CADIZ
79;28;5972X;08453;36.756;6.22;SAN FERNANDO;CADIZ
80;32;6001;08458;36.05;5.556;TARIFA;CADIZ
81;186;5995B;08457;36.444;5.754;VEJER DE LA FRONTERA;CADIZ
82;45;1083L;08020;43.341;3.402;CASTRO URDIALES;CANTABRIA
83;870;9001D;08032;42.931;4.938;REINOSA;CANTABRIA
84;38;1159;08017;43.336;4.332;SAN VICENTE DE LA BARQUERA;CANTABRIA
85;3;1109;08021;43.526;3.932;SANTANDER AEROPUERTO;CANTABRIA
86;64;1110;;43.754;3.908;SANTANDER, CIUDAD;CANTABRIA
87;52;1111X;08023;43.928;3.802;SANTANDER;CANTABRIA
88;52;1111;08023;43.928;3.802;SANTANDER;CANTABRIA
89;720;9019B;08033;42.823;3.602;VALDERREDIBLE, POLIENTES   ;CANTABRIA
90;1220;9563X;08237;40.955;0.112;CASTELLFORT;CASTELLON
91;43;8500A;08286;39.726;0.419;CASTELLÓN - ALMASSORA;CASTELLON
92;25;8501;;39.92;0.224;CASTELLÓN DE LA PLANA;CASTELLON
93;1131;8489X;08241;40.6;0.521;VILLAFRANCA DEL CID/VILLAFRANCA;CASTELLON
94;111;8523X;08239;40.315;0.547;VINARÒS;CASTELLON
95;200;5000A;;35.344;5.732;CEUTA, MONTE HACHO;CEUTA
96;87;5000C;60320;35.319;5.049;CEUTA;CEUTA
97;627;4121C;;38.916;3.545;CIUDAD REAL, INSTITUTO;CIUDAD REAL
98;628;4121;08348;38.921;3.513;CIUDAD REAL;CIUDAD REAL
99;485;4220X;08271;39.519;4.659;PUEBLA DE DON RODRIGO;CIUDAD REAL
100;662;4103X;08276;39.009;3.027;TOMELLOSO;CIUDAD REAL
101;700;4147X;08351;38.502;3.329;VALDEPEÑAS;CIUDAD REAL
102;778;4148;08345;38.105;3.4;VISO DEL MARQUÉS;CIUDAD REAL
103;90;5402;08410;37.056;4.048;CÓRDOBA AEROPUERTO;CORDOBA
104;650;5427X;08412;37.322;4.114;DOÑA MENCÍA;CORDOBA
105;551;4267X;08335;38.955;5.716;HINOJOSA DEL DUQUE;CORDOBA
106;750;5390Y;08346;38.959;4.632;VILLANUEVA DE CÓRDOBA;CORDOBA
107;940;3044X;08230;40.149;2.9;CAÑIZARES;CUENCA
108;948;8096;08231;40.402;2.755;CUENCA;CUENCA
109;728;4090Y;08256;39.5;2.514;SAN CLEMENTE;CUENCA
110;808;3094B;08277;40.041;3.117;TARANCÓN;CUENCA
111;251;1024E;08027;43.823;2.228;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA
112;120;1050J;08036;43.234;2.448;ELGOIBAR;GIPUZKOA
113;4;1014;08029;43.125;1.732;HONDARRIBIA, MALKARROA;GIPUZKOA
114;4;1014A;08029;43.125;1.732;SAN SEBASTIÁN AEROPUERTO;GIPUZKOA
115;28;1041A;08026;43.808;2.504;ZUMAIA;GIPUZKOA
116;420;1037Y;08037;43.448;2.903;ZUMARRAGA;GIPUZKOA
117;143;0367;08184;41.442;2.548;GIRONA AEROPUERTO;GIRONA
118;95;0370B;;41.848;2.931;GIRONA, ANTIC INSTITUT;GIRONA
119;1703;9585;08117;42.957;1.622;LA MOLINA;GIRONA
120;157;0372C;08120;42.616;2.549;PORQUERES;GIRONA
121;675;0324A;08118;42.129;2.146;RIPOLL;GIRONA
122;785;5047E;08424;37.021;2.406;BAZA;GRANADA
123;567;5530E;08419;37.123;3.722;GRANADA AEROPUERTO;GRANADA
124;687;5514;08420;37.814;3.753;GRANADA BASE AÉREA;GRANADA
125;1092;5051X;08423;37.14;2.91;HUÉSCAR;GRANADA
126;594;5582A;08414;37.94;4.91;LOJA;GRANADA
127;12;6268X;08485;36.322;3.149;MOTRIL;GRANADA
128;639;3168C;08226;40.933;3.024;GUADALAJARA, EL SERRANILLO;GUADALAJARA
129;685;3168A;;40.805;3.0;GUADALAJARA, INSTITUTO;GUADALAJARA
130;721;3168D;08226;40.749;3.9;GUADALAJARA;GUADALAJARA
131;1062;3013;08232;40.03;1.244;MOLINA DE ARAGÓN;GUADALAJARA
132;1005;3130C;08150;41.511;2.705;SIGÜENZA;GUADALAJARA
133;572;4560Y;08380;37.207;6.03;ALAJAR;HUELVA
134;2;4549Y;08381;37.141;7.342;AYAMONTE;HUELVA
135;19;4642E;08383;37.642;6.442;HUELVA, RONDA ESTE;HUELVA
136;17;4605;;37.524;6.659;HUELVA;HUELVA
137;41;5860E;08384;37.553;6.417;MOGUER, EL ARENOSILLO;HUELVA
138;1040;9208E;08095;42.232;0.023;ARAGÜÉS DEL PUERTO;HUESCA
139;990;9784P;08103;42.748;0.329;BIELSA;HUESCA
140;546;9898;08094;42.504;0.932;HUESCA AEROPUERTO;HUESCA
141;823;9201K;08091;42.444;0.249;JACA;HUESCA
142;1020;9814A;08101;42.736;0.642;TORLA;HUESCA
143;66;B569X;08311;39.256;3.841;CAPDEPERA;ILLES BALEARS
144;490;B013X;08304;39.924;2.309;ESCORCA, LLUC;ILLES BALEARS
145;6;B954;08373;38.235;1.304;IBIZA, AEROPUERTO;ILLES BALEARS
146;91;B893;08314;39.117;4.256;MENORCA, AEROPUERTO;ILLES BALEARS
147;8;B278;08306;39.339;2.412;PALMA, AEROPUERTO;ILLES BALEARS
148;3;B228;08301;39.312;2.731;PALMA, PUERTO;ILLES BALEARS
149;120;B346X;08310;39.118;3.109;PORRERES;ILLES BALEARS
150;17;B434X;08309;39.452;3.618;PORTOCOLOM  ;ILLES BALEARS
151;40;B691Y;08312;39.457;3.1;SA POBLA;ILLES BALEARS
152;1030;B248;08303;39.406;2.247;SIERRA DE ALFABIA, BUNYOLA;ILLES BALEARS
153;202;5298X;08347;38.123;4.35;ANDÚJAR;JAEN
154;580;5181D;08352;38.853;2.323;ARROYO DEL OJANCO;JAEN
155;813;5038X;08353;37.457;3.014;CAZORLA;JAEN
156;510;5270;;37.635;3.72;JAÉN, INSTITUTO;JAEN
157;580;5270B;08417;37.639;3.832;JAÉN;JAEN
158;770;5246;08350;38.04;3.207;SANTA ELENA;JAEN
159;862;5192;08354;38.921;2.815;VILLARRODRIGO;JAEN
160;353;9170;08084;42.708;2.952;LOGROÑO AEROPUERTO;LA RIOJA
161;25;C249I;60035;28.641;13.147;FUERTEVENTURA AEROPUERTO;LAS PALMAS
162;32;C649I;60030;27.504;15.343;GRAN CANARIA AEROPUERTO;LAS PALMAS
163;10;C619I;60027;28.003;15.85;LA ALDEA DE SAN NICOLÁS;LAS PALMAS
164;14;C029O;60040;28.707;13.601;LANZAROTE AEROPUERTO;LAS PALMAS
165;15;C659M;60032;28.647;15.517;LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA;LAS PALMAS
166;55;C659H;60029;28.523;15.458;LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL;LAS PALMAS
167;6;C689E;60037;27.409;15.545;MASPALOMAS;LAS PALMAS
168;10;C629X;60036;27.859;15.551;MOGÁN, PUERTO;LAS PALMAS
169;15;C229J;60034;28.257;14.129;PÁJARA;LAS PALMAS
170;10;C839I;;29.355;13.007;TEGUISE;LAS PALMAS
171;1020;2737E;08123;42.239;6.148;LAGUNAS DE SOMOZA;LEON
172;912;2661B;08055;42.558;5.837;LEÓN AEROPUERTO;LEON
173;912;2661;08055;42.518;5.904;LEÓN, VIRGEN DEL CAMINO;LEON
174;534;1549;08053;42.35;6.6;PONFERRADA;LEON
175;1510;2630X;08057;43.344;5.237;PUERTO DE SAN ISIDRO;LEON
176;677;9619;08115;42.117;1.747;LA SEU D'URGELL;LLEIDA
177;199;9771;;41.702;0.716;LLEIDA, OBSERVATORIO;LLEIDA
178;185;9771C;08171;41.734;0.553;LLEIDA;LLEIDA
179;1161;9990X;08107;42.201;0.237;NAUT ARAN, ARTIES ;LLEIDA
180;807;9698U;08112;42.219;0.155;TALARN;LLEIDA
181;388;9720X;08173;41.902;1.858;TÀRREGA;LLEIDA
182;445;1505;08008;43.641;7.727;LUGO AEROPUERTO;LUGO
183;540;3100B;08229;40.402;3.246;ARANJUEZ;MADRID
184;1026;3110C;08146;41.025;3.649;BUITRAGO DEL LOZOYA;MADRID
185;1004;3191E;08219;40.146;3.554;COLMENAR VIEJO;MADRID
186;620;3200;08224;40.758;3.32;GETAFE;MADRID
187;609;3129;08221;40.8;3.32;MADRID AEROPUERTO;MADRID
188;664;3194U;08220;40.706;3.327;MADRID, CIUDAD UNIVERSITARIA;MADRID
189;690;3196;08223;40.232;3.71;MADRID, CUATRO VIENTOS;MADRID
190;667;3195;08222;40.443;3.041;MADRID, RETIRO;MADRID
191;1532;3266A;08217;40.223;4.831;PUERTO ALTO DEL LEÓN;MADRID
192;1894;2462;08215;40.735;4.038;PUERTO DE NAVACERRADA;MADRID
193;790;3338;08212;40.54;4.5;ROBLEDO DE CHAVELA;MADRID
194;1450;3111D;08145;41.808;3.449;SOMOSIERRA;MADRID
195;607;3175;08227;40.919;3.637;TORREJÓN DE ARDOZ;MADRID
196;408;6106X;08413;37.146;4.454;ANTEQUERA;MALAGA
197;11;6058I;08463;36.501;5.918;ESTEPONA;MALAGA
198;8;6084X;08480;36.219;4.706;FUENGIROLA;MALAGA
199;5;6155A;08482;36.958;4.856;MÁLAGA AEROPUERTO;MALAGA
200;54;6156X;08481;36.304;4.854;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA
201;25;6172O;08479;36.3;4.511;MÁLAGA, PUERTO;MALAGA
202;766;6032B;08443;36.459;5.006;RONDA;MALAGA
203;3;6205X;08484;36.335;3.726;TORROX;MALAGA
204;52;6000A;60338;35.635;2.723;MELILLA;MELILLA
205;26;7002Y;08432;37.502;1.513;ÁGUILAS;MURCIA
206;75;7228;08429;37.728;1.343;ALCANTARILLA, BASE AÉREA;MURCIA
207;643;7119B;08365;38.609;1.238;CARAVACA DE LA CRUZ;MURCIA
208;17;7012C;08434;37.604;0.916;CARTAGENA;MURCIA
209;265;7145D;08363;38.358;1.25;CIEZA;MURCIA
210;312;7209;08426;37.917;1.114;LORCA;MURCIA
211;61;7178I;08430;38.007;1.015;MURCIA;MURCIA
212;4;7031;08433;37.72;0.812;SAN JAVIER AEROPUERTO;MURCIA
213;4;7031X;08433;37.642;0.821;SAN JAVIER AEROPUERTO;MURCIA
214;640;7275C;08356;38.606;1.935;YECLA;MURCIA
215;572;9263X;08089;42.634;1.157;ARANGUREN, ILUNDAIN  ;NAVARRA
216;295;9294E;08087;42.155;1.831;BARDENAS REALES, BASE AÉREA ;NAVARRA
217;183;1002Y;08030;43.809;1.235;BAZTAN, IRURITA ;NAVARRA
218;268;9283X;08153;42.225;1.241;CADREITA;NAVARRA
219;459;9263D;08085;42.637;1.9;PAMPLONA AEROPUERTO;NAVARRA
220;450;9262;;42.904;1.818;PAMPLONA;NAVARRA
221;840;1631E;08051;42.022;7.657;A POBRA DE TRIVES;OURENSE
222;400;1700X;08047;42.517;8.533;CARBALLIÑO, O;OURENSE
223;148;1690B;;42.956;7.152;OURENSE,INSTITUTO;OURENSE
224;143;1690A;08048;42.931;7.135;OURENSE;OURENSE
225;616;1735X;08050;42.445;7.401;XINZO DE LIMIA;OURENSE
226;874;2400E;08072;41.944;4.61;AUTILLA DEL PINO;PALENCIA
227;830;2374X;08068;42.103;4.702;CARRIÓN DE LOS CONDES;PALENCIA
228;1140;2235U;08058;42.214;4.112;CERVERA DE PISUERGA;PALENCIA
229;750;2401;;42.018;4.145;PALENCIA, OBSERVATORIO;PALENCIA
230;19;1484;;42.55;8.85;PONTEVEDRA, INSTITUTO;PONTEVEDRA
231;108;1484C;08044;42.618;8.657;PONTEVEDRA;PONTEVEDRA
232;261;1495;08045;42.419;8.726;VIGO AEROPUERTO;PONTEVEDRA
233;1960;2491C;08205;40.118;5.124;LA COVATILLA, ESTACIÓN DE ESQUÍ;SALAMANCA
234;680;2946X;08195;40.806;6.6;SAELICES EL CHICO;SALAMANCA
235;790;2867;08202;40.734;5.954;SALAMANCA AEROPUERTO;SALAMANCA
236;775;2870;08201;40.727;5.944;SALAMANCA;SALAMANCA
237;769;2916A;08129;41.041;6.616;VITIGUDINO;SALAMANCA
238;1860;2150H;08143;41.131;3.831;LA PINILLA, ESTACIÓN DE ESQUÍ;SEGOVIA
239;990;2465A;;40.648;4.657;SEGOVIA, INSTITUTO;SEGOVIA
240;1005;2465;08213;40.643;4.735;SEGOVIA;SEGOVIA
241;550;5704B;08392;37.535;5.611;CAZALLA DE LA SIERRA;SEVILLA
242;130;5641X;08395;37.058;5.506;ÉCIJA;SEVILLA
243;410;5612B;08399;37.14;4.612;LA RODA DE ANDALUCÍA;SEVILLA
244;87;5796;08397;37.952;5.641;MORÓN DE LA FRONTERA;SEVILLA
245;34;5783;08391;37.5;5.245;SEVILLA AEROPUERTO;SEVILLA
246;1082;2030;08148;41.63;2.859;SORIA;SORIA
247;115;C439J;60018;28.906;16.256;GÜÍMAR;STA. CRUZ DE TENERIFE
248;32;C929I;60001;27.908;17.32;HIERRO AEROPUERTO;STA. CRUZ DE TENERIFE
249;2371;C430E;60010;28.832;16.958;IZAÑA;STA. CRUZ DE TENERIFE
250;33;C139E;60005;28.759;17.518;LA PALMA AEROPUERTO;STA. CRUZ DE TENERIFE
251;25;C459Z;60012;28.505;16.253;PUERTO DE LA CRUZ;STA. CRUZ DE TENERIFE
252;15;C329Z;60008;28.523;17.641;SAN SEBASTIÁN DE LA GOMERA;STA. CRUZ DE TENERIFE
253;35;C449C;60020;28.748;16.519;STA.CRUZ DE TENERIFE;STA. CRUZ DE TENERIFE
254;62;C129Z;60004;28.545;17.455;TAZACORTE;STA. CRUZ DE TENERIFE
255;632;C447A;60015;28.839;16.946;TENERIFE NORTE AEROPUERTO;STA. CRUZ DE TENERIFE
256;64;C429I;60025;28.249;16.34;TENERIFE SUR AEROPUERTO;STA. CRUZ DE TENERIFE
257;71;0016A;08175;41.842;1.949;REUS AEROPUERTO;TARRAGONA
258;1;9987P;08240;40.157;0.836;SANT JAUME D'ENVEJA;TARRAGONA
259;50;9981A;08238;40.913;0.936;TORTOSA;TARRAGONA
260;32;0002I;08169;40.729;0.217;VANDELLÒS  ;TARRAGONA
261;334;9573X;08164;41.329;0.83;ALCAÑIZ;TERUEL
262;932;9381;;40.154;1.818;CALAMOCHA, AERÓDROMO;TERUEL
263;890;9381I;08233;40.534;1.736;CALAMOCHA;TERUEL
264;466;9569A;08166;40.648;0.416;CALANDA;TERUEL
265;900;8368U;08235;40.102;1.727;TERUEL;TERUEL
266;690;4067;08273;39.931;3.142;MADRIDEJOS;TOLEDO
267;691;4061X;08275;39.551;3.249;QUINTANAR DE LA ORDEN;TOLEDO
268;917;3298X;08270;39.249;4.102;SAN PABLO DE LOS MONTES;TOLEDO
269;372;3365A;08274;39.731;4.149;TALAVERA DE LA REINA;TOLEDO
270;540;3259;;39.134;4.132;TOLEDO, LORENZANA;TOLEDO
271;515;3260B;08272;39.305;4.243;TOLEDO;TOLEDO
272;5;8058X;08282;38.544;0.545;OLIVA;VALENCIA
273;12;8325X;08287;39.105;0.219;POLINYÀ DE XÚQUER;VALENCIA
274;758;8309X;08281;39.432;1.441;UTIEL;VALENCIA
275;56;8414A;08284;39.906;0.829;VALENCIA AEROPUERTO;VALENCIA
276;11;8416Y;08285;39.85;0.159;VALÈNCIA, VIVEROS;VALENCIA
277;11;8416;08285;39.85;0.159;VALÈNCIA;VALENCIA
278;88;8293X;08290;39.006;0.125;XÀTIVA;VALENCIA
279;740;2503X;08142;41.933;4.113;OLMEDO;VALLADOLID
280;846;2539;08140;41.243;4.12;VALLADOLID AEROPUERTO;VALLADOLID
281;735;2422;08141;41.827;4.516;VALLADOLID;VALLADOLID
282;715;2755X;08056;42.039;5.0;BENAVENTE;ZAMORA
283;850;2775X;08125;41.629;6.647;VILLARDECIERVOS;ZAMORA
284;656;2614;08130;41.056;5.407;ZAMORA;ZAMORA
285;357;9576C;08165;41.121;0.028;BUJARALOZ;ZARAGOZA
286;600;9394X;08156;41.952;1.843;CALATAYUD;ZARAGOZA
287;779;9390;08157;41.652;1.436;DAROCA;ZARAGOZA
288;626;9244X;08090;42.927;1.249;SOS DEL REY CATÓLICO;ZARAGOZA
289;249;9434;08160;41.938;1.015;ZARAGOZA AEROPUERTO;ZARAGOZA
290;254;9434P;08159;41.715;0.606;ZARAGOZA, VALDESPARTERA;ZARAGOZA
